GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,predicted_home_win,actual_outcome,model_prob_home,kalshi_prob_home,model_prob_away,kalshi_prob_away,home_edge,away_edge,bet_placed_on,profit_loss
2026-02-26,UTA,NOP,1,0,0.59911144,0.32,0.40088855999999995,0.6799999999999999,0.27911144000000004,-0.27911144,Home,-10.0
2026-02-26,BKN,SAS,0,0,0.18292841,0.175,0.81707159,0.825,0.007928410000000025,-0.007928409999999997,,0.0
2026-02-26,IND,CHA,0,0,0.26840857,0.145,0.7315914299999999,0.855,0.12340857000000002,-0.12340857000000005,Home,-10.0
2026-02-26,CHI,POR,1,0,0.5723152,0.405,0.4276848,0.595,0.1673152,-0.1673152,Home,-10.0
2026-02-26,DAL,SAC,1,0,0.69663256,0.745,0.30336744000000004,0.255,-0.04836744000000004,0.04836744000000004,,0.0
2026-02-26,PHI,MIA,0,1,0.45220447,0.555,0.5477955299999999,0.44499999999999995,-0.10279553000000002,0.10279552999999997,Away,-10.0
2026-02-26,ATL,WAS,1,1,0.7426642,0.805,0.2573358,0.19499999999999995,-0.06233580000000005,0.06233580000000005,Away,-10.0
2026-02-26,ORL,HOU,1,0,0.52314216,0.425,0.47685784,0.575,0.09814216000000003,-0.09814215999999998,Home,-10.0
2026-02-27,MIL,NYK,1,0,0.55972695,0.275,0.44027305000000005,0.725,0.2847269499999999,-0.2847269499999999,Home,-10.0
2026-02-27,DET,CLE,1,1,0.5584461,0.585,0.44155390000000005,0.41500000000000004,-0.02655390000000002,0.02655390000000002,,0.0
2026-02-27,BOS,BKN,1,1,0.84849,0.905,0.15151000000000003,0.09499999999999997,-0.05651000000000006,0.05651000000000006,Away,-10.0
2026-02-27,DAL,MEM,1,0,0.6292428,0.645,0.3707572,0.355,-0.015757200000000027,0.015757200000000027,,0.0
2026-02-28,WAS,TOR,0,0,0.32827175,0.125,0.67172825,0.875,0.20327174999999997,-0.20327174999999997,Home,-10.0
2026-02-28,MIA,HOU,0,1,0.39282712,0.44,0.60717288,0.56,-0.04717288000000003,0.04717287999999997,,0.0
2026-02-28,CHA,POR,1,1,0.5776083,0.705,0.42239170000000004,0.29500000000000004,-0.1273917,0.1273917,Away,-10.0
2026-03-01,NYK,SAS,0,1,0.44638026,0.485,0.55361974,0.515,-0.038619740000000014,0.038619740000000014,,0.0
2026-03-01,IND,MEM,1,0,0.6436513,0.49,0.35634869999999996,0.51,0.15365130000000005,-0.15365130000000005,Home,-10.0
2026-03-01,DEN,MIN,1,0,0.53673124,0.535,0.46326875999999995,0.46499999999999997,0.0017312400000000228,-0.0017312400000000228,,0.0
2026-03-01,ORL,DET,0,0,0.49694744,0.335,0.50305256,0.665,0.16194744,-0.16194744000000005,Home,-10.0
2026-03-01,BOS,PHI,1,1,0.5463371,0.755,0.4536629,0.245,-0.20866289999999998,0.20866289999999998,Away,-10.0
2026-03-01,BKN,CLE,0,0,0.23296587,0.135,0.76703413,0.865,0.09796586999999998,-0.09796587000000001,Home,-10.0
2026-03-01,ATL,POR,1,1,0.6342363,0.675,0.3657637,0.32499999999999996,-0.04076370000000007,0.04076370000000007,,0.0
2026-03-01,CHI,MIL,0,1,0.44220194,0.435,0.55779806,0.565,0.007201940000000018,-0.007201939999999962,,0.0
2026-03-01,DAL,OKC,0,0,0.32570738,0.105,0.67429262,0.895,0.22070738,-0.22070738,Home,-10.0
2026-03-02,WAS,HOU,0,0,0.2178632,0.105,0.7821368,0.895,0.11286320000000001,-0.11286320000000005,Home,-10.0
2026-03-02,MIL,BOS,0,0,0.23624925,0.435,0.76375075,0.565,-0.19875075,0.1987507500000001,Away,7.69911504424779
2026-03-03,ORL,WAS,1,1,0.817013,0.905,0.182987,0.09499999999999997,-0.08798700000000004,0.08798700000000004,Away,-10.0
2026-03-03,CHA,DAL,1,1,0.76794565,0.855,0.23205434999999996,0.14500000000000002,-0.08705434999999995,0.08705434999999995,Away,-10.0
2026-03-03,CHI,OKC,0,0,0.46818614,0.225,0.53181386,0.775,0.24318613999999997,-0.24318614000000005,Home,-10.0
2026-03-03,MIA,BKN,1,1,0.58588946,0.855,0.41411054,0.14500000000000002,-0.26911054,0.26911054,Away,-10.0
2026-03-03,MIN,MEM,1,1,0.6521177,0.865,0.3478823,0.135,-0.21288229999999997,0.21288229999999997,Away,-10.0
2026-03-03,CLE,DET,1,1,0.64787257,0.425,0.35212743,0.575,0.22287257,-0.22287256999999994,Home,13.529411764705884
2026-03-03,TOR,NYK,1,0,0.5284074,0.435,0.47159260000000003,0.565,0.09340739999999997,-0.09340739999999992,Home,-10.0
2026-03-03,PHI,SAS,1,0,0.5195252,0.255,0.4804748,0.745,0.2645252,-0.2645252,Home,-10.0
2026-03-04,PHI,UTA,1,1,0.6960666,0.735,0.3039334,0.265,-0.03893340000000001,0.03893340000000001,,0.0
2026-03-04,NYK,OKC,1,0,0.5281697,0.385,0.47183030000000004,0.615,0.14316969999999996,-0.14316969999999996,Home,-10.0
2026-03-04,BOS,CHA,1,0,0.5243565,0.695,0.4756435,0.30500000000000005,-0.17064349999999995,0.17064349999999995,Away,22.786885245901637
2026-03-04,MEM,POR,1,0,0.5145866,0.235,0.4854134,0.765,0.2795866,-0.2795866,Home,-10.0
2026-03-05,ORL,DAL,1,1,0.7909896,0.745,0.20901040000000004,0.255,0.045989599999999964,-0.045989599999999964,,0.0
2026-03-05,SAS,DET,1,1,0.63803786,0.575,0.36196214000000004,0.42500000000000004,0.06303786,-0.06303786,Home,7.39130434782609
2026-03-05,MIA,BKN,1,1,0.6777981,0.865,0.32220190000000004,0.135,-0.18720190000000003,0.18720190000000003,Away,-10.0
2026-03-05,HOU,GSW,1,0,0.83547544,0.795,0.16452456000000004,0.20499999999999996,0.04047543999999992,-0.04047543999999992,,0.0
2026-03-05,PHX,CHI,1,0,0.7901248,0.835,0.20987520000000004,0.16500000000000004,-0.044875200000000004,0.044875200000000004,,0.0
2026-03-05,MIN,TOR,1,1,0.62870556,0.655,0.37129444,0.345,-0.02629444000000003,0.02629444000000003,,0.0
2026-03-05,WAS,UTA,1,0,0.5856285,0.615,0.4143715,0.385,-0.029371499999999995,0.029371499999999995,,0.0
2026-03-06,DEN,NYK,0,0,0.44926867,0.515,0.5507313300000001,0.485,-0.06573133000000003,0.06573133000000009,Away,10.61855670103093
2026-03-06,HOU,POR,1,1,0.73116106,0.715,0.26883893999999997,0.28500000000000003,0.01616106000000006,-0.01616106000000006,,0.0
2026-03-06,PHX,NOP,1,1,0.55160207,0.625,0.44839792999999994,0.375,-0.07339792999999994,0.07339792999999994,Away,-10.0
2026-03-06,BOS,DAL,1,1,0.78663695,0.895,0.21336305,0.10499999999999998,-0.10836305000000002,0.10836305000000002,Away,-10.0
2026-03-06,CHA,MIA,0,0,0.4461838,0.715,0.5538162,0.28500000000000003,-0.26881619999999995,0.26881619999999995,Away,25.08771929824561
2026-03-07,MIN,ORL,1,0,0.7908233,0.705,0.2091767,0.29500000000000004,0.08582330000000005,-0.08582330000000005,Home,-10.0
2026-03-07,MIL,UTA,0,1,0.4289329,0.795,0.5710671,0.20499999999999996,-0.36606710000000003,0.3660671000000001,Away,-10.0
2026-03-07,DET,BKN,1,0,0.8562094,0.855,0.1437906,0.14500000000000002,0.0012094000000000271,-0.0012094000000000271,,0.0
2026-03-07,OKC,GSW,1,1,0.83557457,0.835,0.16442542999999998,0.16500000000000004,0.000574570000000052,-0.000574570000000052,,0.0
2026-03-07,ATL,PHI,1,1,0.6006363,0.705,0.3993637,0.29500000000000004,-0.10436369999999995,0.10436369999999995,Away,-10.0
2026-03-08,TOR,DAL,1,1,0.6141804,0.785,0.38581960000000004,0.21499999999999997,-0.17081960000000007,0.17081960000000007,Away,-10.0
2026-03-08,MIL,ORL,0,0,0.47462866,0.335,0.52537134,0.665,0.13962865999999996,-0.13962866000000007,Home,-10.0
2026-03-08,CLE,BOS,0,0,0.39890787,0.46,0.6010921300000001,0.54,-0.06109213000000002,0.06109213000000002,Away,8.518518518518515
2026-03-08,SAS,HOU,1,1,0.62689805,0.675,0.37310195,0.32499999999999996,-0.04810195000000006,0.04810195000000006,,0.0
2026-03-08,MIA,DET,0,1,0.4618035,0.485,0.5381965,0.515,-0.02319650000000001,0.023196499999999953,,0.0
2026-03-08,POR,IND,1,1,0.76647216,0.785,0.23352784000000004,0.21499999999999997,-0.018527840000000073,0.018527840000000073,,0.0
2026-03-08,SAC,CHI,1,1,0.6449152,0.365,0.3550848,0.635,0.27991520000000003,-0.27991520000000003,Home,17.397260273972602
2026-03-08,NOP,WAS,1,1,0.763993,0.825,0.23600699999999997,0.17500000000000004,-0.06100699999999992,0.06100699999999992,Away,-10.0
2026-03-09,OKC,DEN,1,1,0.8425556,0.435,0.15744440000000004,0.565,0.40755559999999996,-0.4075555999999999,Home,12.988505747126435
2026-03-09,UTA,GSW,0,1,0.49770695,0.295,0.50229305,0.7050000000000001,0.20270695,-0.20270695000000005,Home,23.898305084745765
2026-03-09,BKN,MEM,0,1,0.36231124,0.515,0.6376887600000001,0.485,-0.15268876000000003,0.1526887600000001,Away,-10.0
2026-03-09,CLE,PHI,1,1,0.58637726,0.875,0.41362274,0.125,-0.28862274,0.28862274,Away,-10.0
2026-03-10,PHI,MEM,0,1,0.4604772,0.515,0.5395228000000001,0.485,-0.05452280000000004,0.05452280000000009,Away,-10.0
2026-03-10,HOU,TOR,1,1,0.58016485,0.635,0.41983515000000005,0.365,-0.054835150000000055,0.054835150000000055,Away,-10.0
2026-03-10,MIL,PHX,0,0,0.3409874,0.455,0.6590126000000001,0.5449999999999999,-0.11401260000000002,0.11401260000000013,Away,8.348623853211013
2026-03-10,MIA,WAS,1,1,0.63521403,0.905,0.36478597,0.09499999999999997,-0.26978597000000004,0.26978597000000004,Away,-10.0
2026-03-10,ATL,DAL,1,1,0.6399627,0.855,0.3600373,0.14500000000000002,-0.2150373,0.2150373,Away,-10.0
2026-03-10,BKN,DET,0,0,0.33514845,0.095,0.6648515500000001,0.905,0.24014844999999999,-0.24014844999999996,Home,-10.0
2026-03-10,SAS,BOS,1,1,0.56803995,0.585,0.43196005000000004,0.41500000000000004,-0.016960050000000004,0.016960050000000004,,0.0
2026-03-11,UTA,NYK,0,0,0.27093107,0.115,0.72906893,0.885,0.15593107,-0.15593107000000006,Home,-10.0
2026-03-11,NOP,TOR,0,1,0.38922998,0.435,0.61077002,0.565,-0.04577002000000002,0.04577002000000008,,0.0
2026-03-11,ORL,CLE,1,1,0.70653224,0.405,0.29346775999999997,0.595,0.30153224,-0.30153224,Home,14.691358024691358
2026-03-12,SAS,DEN,1,0,0.552236,0.575,0.44776400000000005,0.42500000000000004,-0.022764000000000006,0.022764000000000006,,0.0
2026-03-12,ORL,WAS,1,1,0.8301732,0.89,0.16982680000000006,0.10999999999999999,-0.05982680000000007,0.05982680000000007,Away,-10.0
2026-03-12,DET,PHI,1,1,0.6088215,0.895,0.3911785,0.10499999999999998,-0.2861785,0.2861785,Away,-10.0
2026-03-12,IND,PHX,0,0,0.21794957,0.205,0.78205043,0.795,0.012949570000000021,-0.012949570000000077,,0.0
2026-03-12,ATL,BKN,1,1,0.7337198,0.905,0.26628019999999997,0.09499999999999997,-0.1712802,0.1712802,Away,-10.0
2026-03-12,MIA,MIL,1,1,0.5275067,0.675,0.4724933,0.32499999999999996,-0.14749330000000005,0.14749330000000005,Away,-10.0
2026-03-12,MEM,DAL,1,0,0.62696385,0.335,0.37303615,0.665,0.29196384999999997,-0.29196385,Home,-10.0
2026-03-13,IND,NYK,0,0,0.22723886,0.145,0.7727611400000001,0.855,0.08223886,-0.08223885999999991,Home,-10.0
2026-03-13,DET,MEM,1,1,0.6544642,0.915,0.34553579999999995,0.08499999999999996,-0.2605358,0.2605358,Away,-10.0
2026-03-13,TOR,PHX,0,1,0.3570365,0.645,0.6429635,0.355,-0.28796350000000004,0.28796350000000004,Away,-10.0
2026-03-13,HOU,NOP,0,1,0.4296171,0.685,0.5703829,0.31499999999999995,-0.2553829000000001,0.2553829000000001,Away,-10.0
2026-03-13,DAL,CLE,0,0,0.274942,0.145,0.725058,0.855,0.12994200000000003,-0.129942,Home,-10.0
2026-03-14,PHI,BKN,1,1,0.6861467,0.775,0.3138533,0.22499999999999998,-0.08885330000000002,0.08885330000000002,Away,-10.0
2026-03-14,BOS,WAS,1,1,0.8408101,0.955,0.1591899,0.04500000000000004,-0.11418989999999996,0.11418989999999996,Away,-10.0
2026-03-14,SAS,CHA,0,1,0.4575562,0.695,0.5424438,0.30500000000000005,-0.23744379999999993,0.23744379999999998,Away,-10.0
2026-03-14,MIA,ORL,0,0,0.37896937,0.625,0.6210306299999999,0.375,-0.24603062999999997,0.24603062999999992,Away,16.666666666666664
2026-03-14,ATL,MIL,1,1,0.657279,0.805,0.34272100000000005,0.19499999999999995,-0.1477210000000001,0.1477210000000001,Away,-10.0
2026-03-15,OKC,MIN,1,1,0.83926743,0.775,0.16073256999999996,0.22499999999999998,0.06426743000000001,-0.06426743000000001,Home,2.903225806451612
2026-03-15,CLE,DAL,1,0,0.7924204,0.895,0.20757959999999998,0.10499999999999998,-0.10257959999999999,0.10257959999999999,Away,85.23809523809526
2026-03-15,MIL,IND,1,1,0.59603107,0.745,0.40396893,0.255,-0.14896893,0.14896893,Away,-10.0
2026-03-15,PHI,POR,1,1,0.5328838,0.255,0.4671162,0.745,0.2778838,-0.2778838,Home,29.2156862745098
2026-03-15,TOR,DET,0,1,0.43484667,0.405,0.56515333,0.595,0.029846669999999964,-0.029846669999999964,,0.0
2026-03-15,NYK,GSW,1,1,0.7645889,0.885,0.23541109999999998,0.11499999999999999,-0.1204111,0.1204111,Away,-10.0
2026-03-16,WAS,GSW,0,0,0.44589934,0.265,0.55410066,0.735,0.18089933999999996,-0.18089933999999996,Home,-10.0
2026-03-16,NOP,DAL,1,1,0.65774083,0.745,0.34225916999999995,0.255,-0.08725916999999994,0.08725916999999994,Away,-10.0
2026-03-16,BOS,PHX,1,1,0.5767745,0.775,0.42322550000000003,0.22499999999999998,-0.19822550000000005,0.19822550000000005,Away,-10.0
2026-03-16,CHI,MEM,1,1,0.5803912,0.705,0.4196088,0.29500000000000004,-0.12460879999999996,0.12460879999999996,Away,-10.0
2026-03-16,BKN,POR,0,0,0.48091897,0.185,0.5190810299999999,0.815,0.29591897,-0.29591897,Home,-10.0
2026-03-16,ATL,ORL,0,1,0.3148615,0.575,0.6851385,0.42500000000000004,-0.26013849999999994,0.26013849999999994,Away,-10.0
2026-03-17,MIL,CLE,0,0,0.237349,0.165,0.762651,0.835,0.072349,-0.072349,Home,-10.0
2026-03-17,MIN,PHX,0,1,0.31659678,0.595,0.68340322,0.405,-0.27840321999999995,0.27840321999999995,Away,-10.0
2026-03-17,WAS,DET,0,0,0.22479314,0.055,0.7752068599999999,0.945,0.16979314,-0.16979314,Home,-10.0
2026-03-17,CHA,MIA,0,1,0.2849488,0.645,0.7150512,0.355,-0.3600512,0.3600512,Away,-10.0
2026-03-17,NYK,IND,1,1,0.77944064,0.865,0.22055935999999998,0.135,-0.08555935999999997,0.08555935999999997,Away,-10.0
2026-03-17,ORL,OKC,1,0,0.5293737,0.195,0.47062630000000005,0.8049999999999999,0.33437369999999994,-0.3343736999999999,Home,-10.0
2026-03-18,IND,POR,0,0,0.39288825,0.145,0.6071117500000001,0.855,0.24788825,-0.24788824999999992,Home,-10.0
2026-03-18,MIN,UTA,1,1,0.7013479,0.875,0.2986521,0.125,-0.17365209999999998,0.17365209999999998,Away,-10.0
2026-03-18,BOS,GSW,1,1,0.7238719,0.845,0.2761281,0.15500000000000003,-0.12112809999999996,0.12112809999999996,Away,-10.0
2026-03-18,CHI,TOR,0,0,0.46232665,0.265,0.5376733499999999,0.735,0.19732665,-0.19732665000000005,Home,-10.0
2026-03-18,BKN,OKC,0,0,0.23671201,0.045,0.76328799,0.955,0.19171201,-0.19171200999999993,Home,-10.0
2026-03-18,DAL,ATL,0,0,0.26653653,0.255,0.73346347,0.745,0.01153652999999999,-0.01153652999999999,,0.0
2026-03-18,MEM,DEN,0,1,0.20550467,0.125,0.7944953299999999,0.875,0.08050467,-0.08050467000000006,Home,70.0
2026-03-19,SAS,PHX,1,1,0.6117732,0.805,0.3882268,0.19499999999999995,-0.19322680000000003,0.19322680000000003,Away,-10.0
2026-03-19,CHA,ORL,1,1,0.55024546,0.67,0.44975454000000004,0.32999999999999996,-0.11975454000000008,0.11975454000000008,Away,-10.0
2026-03-19,CHI,CLE,0,0,0.37625358,0.215,0.62374642,0.785,0.16125357999999998,-0.16125358,Home,-10.0
2026-03-19,UTA,MIL,1,1,0.53767866,0.315,0.46232134,0.685,0.22267865999999997,-0.22267866000000003,Home,21.746031746031743
2026-03-19,WAS,DET,0,0,0.27949712,0.105,0.72050288,0.895,0.17449712,-0.17449712000000006,Home,-10.0
2026-03-20,MIN,POR,1,0,0.5810231,0.495,0.4189769,0.505,0.08602310000000002,-0.08602310000000002,Home,-10.0
2026-03-20,MEM,BOS,0,0,0.2636,0.095,0.7363999999999999,0.905,0.1686,-0.16860000000000008,Home,-10.0
2026-03-20,DEN,TOR,1,1,0.5710553,0.705,0.42894469999999996,0.29500000000000004,-0.13394469999999992,0.13394469999999992,Away,-10.0
2026-03-20,DET,GSW,1,1,0.81994414,0.675,0.18005585999999996,0.32499999999999996,0.14494414,-0.14494414,Home,4.814814814814813
2026-03-20,HOU,ATL,0,1,0.32406536,0.595,0.6759346399999999,0.405,-0.27093463999999995,0.2709346399999999,Away,-10.0
2026-03-20,BKN,NYK,0,0,0.20321697,0.055,0.7967830300000001,0.945,0.14821697,-0.1482169699999999,Home,-10.0
2026-03-21,WAS,OKC,0,0,0.24025393,0.035,0.75974607,0.965,0.20525393,-0.20525392999999992,Home,-10.0
2026-03-21,ATL,GSW,1,1,0.69315594,0.735,0.30684406,0.265,-0.04184405999999996,0.04184405999999996,,0.0
2026-03-21,CHA,MEM,1,1,0.708035,0.935,0.29196500000000003,0.06499999999999995,-0.22696500000000008,0.22696500000000008,Away,-10.0
2026-03-21,SAS,IND,1,1,0.7125412,0.915,0.2874588,0.08499999999999996,-0.20245880000000005,0.20245880000000005,Away,-10.0
2026-03-21,NOP,CLE,0,0,0.324388,0.345,0.675612,0.655,-0.020611999999999964,0.020611999999999964,,0.0
2026-03-21,HOU,MIA,1,1,0.77605814,0.565,0.22394186000000005,0.43500000000000005,0.21105814,-0.21105814,Home,7.69911504424779
2026-03-22,NYK,WAS,1,1,0.8208749,0.955,0.17912510000000004,0.04500000000000004,-0.1341251,0.1341251,Away,-10.0
2026-03-22,BOS,MIN,1,0,0.53496224,0.795,0.46503775999999997,0.20499999999999996,-0.26003776,0.26003776,Away,38.78048780487806
2026-03-22,DEN,POR,1,1,0.62976223,0.755,0.37023777,0.245,-0.12523777000000003,0.12523777000000003,Away,-10.0
2026-03-22,SAC,BKN,1,1,0.5638537,0.685,0.4361463,0.31499999999999995,-0.12114630000000004,0.12114630000000004,Away,-10.0
2026-03-22,PHX,TOR,0,1,0.31992507,0.375,0.68007493,0.625,-0.05507493000000002,0.055074929999999966,Away,-10.0
2026-03-23,PHI,OKC,0,0,0.38159126,0.085,0.61840874,0.915,0.29659125999999997,-0.29659126,Home,-10.0
2026-03-23,CHI,HOU,0,1,0.47186646,0.225,0.52813354,0.775,0.24686645999999998,-0.24686646,Home,34.44444444444444
2026-03-23,MIA,SAS,0,0,0.3815981,0.395,0.6184019000000001,0.605,-0.013401900000000022,0.013401900000000078,,0.0
2026-03-23,UTA,TOR,0,0,0.2501977,0.185,0.7498023,0.815,0.06519770000000003,-0.06519769999999991,Home,-10.0
2026-03-23,ATL,MEM,1,1,0.7852424,0.875,0.2147576,0.125,-0.08975759999999999,0.08975759999999999,Away,-10.0
2026-03-23,ORL,IND,1,0,0.6868008,0.825,0.3131992,0.17500000000000004,-0.13819919999999997,0.13819919999999997,Away,47.142857142857125
2026-03-24,CLE,ORL,1,1,0.8006512,0.795,0.1993488,0.20499999999999996,0.005651199999999967,-0.005651199999999967,,0.0
2026-03-24,NYK,NOP,1,1,0.6793827,0.765,0.3206173,0.235,-0.08561730000000001,0.08561730000000001,Away,-10.0
2026-03-24,CHA,SAC,1,1,0.60315,0.925,0.39685000000000004,0.07499999999999996,-0.3218500000000001,0.3218500000000001,Away,-10.0
